t[sec];q1[m3/h];h1[m];h2[m];q2_measurement[m3/h]
65;0,02;0,201484874;0,138830058;0,018326254
65,5;0,02;0,202086651;0,139332809;0,018803292
66;0,02;0,202673575;0,139823309;0,018719159
66,5;0,02;0,203246035;0,140301871;0,017567112
67;0,02;0,20380441;0,1407688;0,018826064
67,5;0,02;0,204349069;0,141224394;0,019047612
68;0,02;0,204880368;0,14166894;0,017793497
68,5;0,02;0,205398653;0,142102718;0,01876206
69;0,02;0,205904263;0,142526001;0,018005828
69,5;0,02;0,206397524;0,142939055;0,017566921
70;0,02;0,206878754;0,143342137;0,01926442
70,5;0,02;0,207348261;0,143735497;0,017774295
71;0,02;0,207806346;0,144119381;0,020078786
71,5;0,02;0,208253302;0,144494024;0,0195662
72;0,02;0,20868941;0,144859659;0,019792092
72,5;0,02;0,209114947;0,14521651;0,015914184
73;0,02;0,209530182;0,145564796;0,018955924
73,5;0,02;0,209935374;0,14590473;0,019173071
74;0,02;0,210330777;0,146236519;0,01955158
74,5;0,02;0,210716639;0,146560366;0,018666898
75;0,02;0,211093198;0,146876466;0,018649201
75,5;0,02;0,211460688;0,147185011;0,021179134
76;0,02;0,211819336;0,147486187;0,019948274
76,5;0,02;0,212169364;0,147780176;0,01920899
77;0,02;0,212510986;0,148067154;0,020257778
77,5;0,02;0,212844411;0,148347294;0,019474964
78;0,02;0,213169843;0,148620763;0,021342606
78,5;0,02;0,213487481;0,148887724;0,018935558
79;0,02;0,213797518;0,149148338;0,018662254
79,5;0,02;0,214100141;0,149402758;0,018926078
80;0,02;0,214395533;0,149651135;0,020187246
80,5;0,02;0,214683874;0,149893618;0,019830344
81;0,02;0,214965335;0,150130348;0,017936701
81,5;0,02;0,215240087;0,150361467;0,01831864
82;0,02;0,215508294;0,15058711;0,019717579
82,5;0,02;0,215770116;0,15080741;0,020936943
83;0,02;0,21602571;0,151022496;0,018158361
83,5;0,02;0,216275228;0,151232495;0,019099036
84;0,02;0,216518818;0,151437529;0,020378084
84,5;0,02;0,216756625;0,151637718;0,018407966
85;0,02;0,216988789;0,151833179;0,019370765
85,5;0,02;0,217215447;0,152024026;0,018942929
86;0,02;0,217436734;0,152210371;0,019695265
86,5;0,02;0,21765278;0,15239232;0,019556387
87;0,02;0,217863711;0,15256998;0,020878702
87,5;0,02;0,218069651;0,152743454;0,018827355
88;0,02;0,218270722;0,152912843;0,019534316
88,5;0,02;0,21846704;0,153078243;0,020266865
89;0,02;0,21865872;0,153239751;0,017157752
89,5;0,02;0,218845875;0,15339746;0,01798688
90;0,02;0,219028613;0,15355146;0,018655496
90,5;0,02;0,21920704;0,15370184;0,019518674
91;0,02;0,21938126;0,153848686;0,017976298
91,5;0,02;0,219551374;0,153992084;0,02100179
92;0,02;0,21971748;0,154132114;0,019509688
92,5;0,02;0,219879675;0,154268857;0,021519615
93;0,02;0,220038053;0,154402392;0,019619966
93,5;0,02;0,220192703;0,154532794;0,020454244
94;0,02;0,220343717;0,154660139;0,019905347
94,5;0,02;0,22049118;0,154784498;0,018884948
95;0,02;0,220635178;0,154905943;0,02024559
95,5;0,02;0,220775793;0,155024543;0,020279978
96;0,02;0,220913105;0,155140365;0,020625393
96,5;0,02;0,221047194;0,155253475;0,020891566
97;0,02;0,221178136;0,155363937;0,018988311
97,5;0,02;0,221306007;0,155471815;0,019777515
98;0,02;0,221430878;0,155577168;0,021441275
98,5;0,02;0,221552821;0,155680057;0,021510101
99;0,02;0,221671907;0,155780541;0,019161146
99,5;0,02;0,221788202;0,155878675;0,020003618
100;0,02;0,221901773;0,155974516;0,019115943
100,5;0,02;0,222012684;0,156068117;0,018327957
101;0,02;0,222120999;0,156159531;0,02133004
101,5;0,02;0,222226779;0,15624881;0,019619135
102;0,02;0,222330084;0,156336005;0,018742138
102,5;0,02;0,222430972;0,156421164;0,021925322
103;0,02;0,2225295;0,156504335;0,018914395
103,5;0,02;0,222625726;0,156585565;0,020646916
104;0,02;0,222719701;0,156664899;0,020252623
104,5;0,02;0,222811481;0,156742384;0,020306633
105;0,02;0,222901117;0,15681806;0,021236834
105,5;0,02;0,222988658;0,156891973;0,021081544
106;0,02;0,223074155;0,156964162;0,020092836
106,5;0,02;0,223157656;0,157034668;0,02058391
107;0,02;0,223239208;0,157103531;0,018752579
107,5;0,02;0,223318856;0,157170789;0,02065518
108;0,02;0,223396646;0,15723648;0,020276403
108,5;0,02;0,223472621;0,157300641;0,019920328
109;0,02;0,223546824;0,157363307;0,018516841
109,5;0,02;0,223619297;0,157424514;0,01995164
110;0,02;0,223690079;0,157484296;0,019442847
110,5;0,02;0,223759212;0,157542686;0,021399665
111;0,02;0,223826733;0,157599716;0,020109708
111,5;0,02;0,22389268;0,15765542;0,017543769
112;0,02;0,223957091;0,157709827;0,020542687
112,5;0,02;0,224020001;0,157762968;0,01961741
113;0,02;0,224081446;0,157814872;0,018724547
113,5;0,02;0,22414146;0,15786557;0,020643925
114;0,02;0,224200077;0,157915088;0,02037815
114,5;0,02;0,224257328;0,157963454;0,020360104
115;0,02;0,224313247;0,158010695;0,019899491
115,5;0,02;0,224367864;0,158056839;0,018029718
116;0,02;0,224421211;0,158101909;0,019557624
116,5;0,02;0,224473315;0,158145932;0,020321555
117;0,02;0,224524208;0,158188931;0,020470092
117,5;0,02;0,224573916;0,158230931;0,019723061
118;0,02;0,224622468;0,158271955;0,019225051
118,5;0,02;0,224669891;0,158312025;0,019850999
119;0,02;0,224716211;0,158351165;0,018439509
119,5;0,02;0,224761454;0,158389395;0,020614543
120;0,02;0,224805646;0,158426737;0,019193291
120,5;0,02;0,224848809;0,158463212;0,020063977
121;0,02;0,22489097;0,15849884;0,020611423
121,5;0,02;0,22493215;0,15853364;0,018570497
122;0,02;0,224972374;0,158567632;0,020082164
122,5;0,02;0,225011662;0,158600834;0,019536416
123;0,02;0,225050038;0,158633266;0,021062117
123,5;0,02;0,225087522;0,158664945;0,020799114
124;0,02;0,225124136;0,158695888;0,020124367
124,5;0,02;0,225159899;0,158726113;0,021850447
125;0,01;0,225194831;0,158755637;0,020592257
125,5;0,01;0,220228952;0,158784475;0,018179392
126;0,01;0,21601228;0,155062644;0,018612353
126,5;0,01;0,211869835;0,150965159;0,018326468
127;0,01;0,207734133;0,147421173;0,019301126
127,5;0,01;0,203687189;0,144088099;0,020302016
128;0,01;0,199747326;0,140793086;0,01933207
128,5;0,01;0,19590419;0,137560093;0,018798776
129;0,01;0,192152575;0,13441516;0,017678169
129,5;0,01;0,188491963;0,131356853;0,018996363
130;0,01;0,184921696;0,128379844;0,017377015
130,5;0,01;0,181440419;0,125482251;0,018344382
131;0,01;0,178046693;0,12266321;0,01690741
131,5;0,01;0,174739171;0,11992148;0,018056832
132;0,01;0,171516517;0,117255613;0,017359223
132,5;0,01;0,168377382;0,11466419;0,018512736
133;0,01;0,165320403;0,112145825;0,01749477
133,5;0,01;0,162344216;0,109699132;0,017746655
134;0,01;0,159447454;0,107322719;0,016608017
134,5;0,01;0,156628743;0,105015196;0,015140108
135;0,01;0,153886711;0,102775174;0,016540988
135,5;0,01;0,151219981;0,100601267;0,015812017
136;0,01;0,148627174;0,098492093;0,016426133
136,5;0,01;0,146106911;0,096446275;0,014881903
137;0,01;0,143657816;0,09446244;0,015621778
137,5;0,01;0,14127851;0,092539221;0,015450268
138;0,01;0,138967616;0,090675259;0,014743035
138,5;0,01;0,136723763;0,088869202;0,015065855
139;0,01;0,134545579;0,087119707;0,015830236
139,5;0,01;0,132431698;0,085425438;0,015865469
140;0,01;0,130380759;0,083785073;0,016624323
140,5;0,01;0,128391406;0,082197299;0,014401095
141;0,01;0,12646229;0,080660815;0,01293739
141,5;0,01;0,124592069;0,079174332;0,01304274
142;0,01;0,122779408;0,077736575;0,014352244
142,5;0,01;0,121022983;0,076346283;0,014076925
143;0,01;0,119321478;0,075002209;0,013262115
143,5;0,01;0,117673588;0,073703122;0,016146407
144;0,01;0,116078018;0,072447807;0,012585573
144,5;0,01;0,114533486;0,071235067;0,013862491
145;0,01;0,113038723;0,070063718;0,013741576
145,5;0,01;0,111592473;0,068932599;0,014254165
146;0,01;0,110193492;0,067840564;0,01427315
